Wall time,Step,Value
1577731292.681882,1,18.40972137451172
1577731296.6331077,2,78.89055633544922
1577731300.828348,3,125.03778076171875
1577731304.7645729,4,47.28166580200195
1577731308.8098042,5,25.31861114501953
1577731313.0660477,6,23.934722900390625
1577731317.073277,7,16.49944496154785
1577731321.1855123,8,18.877777099609375
1577731325.1957414,9,14.699444770812988
1577731332.4581568,10,17.38222312927246
1577731336.4843874,11,10.084722518920898
1577731341.0336473,12,10.93416690826416
1577731345.781919,13,9.437222480773926
1577731349.9741588,14,10.724166870117188
1577731354.1103954,15,13.351666450500488
1577731358.3396373,16,9.630000114440918
1577731362.0438492,17,7.908611297607422
1577731365.8110645,18,5.412777900695801
1577731369.5552785,19,4.44611120223999
1577731373.5235057,20,6.855278015136719
1577731377.338724,21,5.284999847412109
1577731381.2469475,22,2.4388887882232666
1577731384.8441532,23,2.130833387374878
1577731388.5373645,24,2.26027774810791
1577731392.181573,25,1.1422221660614014
1577731395.8127806,26,1.8536111116409302
1577731399.4339876,27,1.9008333683013916
1577731403.1181982,28,1.9997222423553467
1577731406.885414,29,1.3222222328186035
1577731410.7476346,30,1.8727778196334839
1577731414.3768425,31,1.1905555725097656
1577731418.0340517,32,1.5125000476837158
1577731421.647258,33,1.7369444370269775
1577731425.438475,34,3.6594443321228027
1577731429.3056962,35,5.3077778816223145
1577731433.3989305,36,2.4269444942474365
1577731437.430161,37,4.580555438995361
1577731441.278381,38,2.7641665935516357
1577731444.9545913,39,3.5052778720855713
1577731448.848814,40,3.0880556106567383
1577731452.6730328,41,2.952777862548828
1577731456.4262474,42,3.6586110591888428
1577731460.2594666,43,2.901111125946045
1577731464.1876915,44,8.418333053588867
1577731467.9289055,45,4.753333568572998
1577731471.8121276,46,5.041388988494873
1577731475.510339,47,3.1683332920074463
1577731479.2825549,48,2.328611135482788
1577731483.2427812,49,5.780555725097656
1577731486.9809952,50,1.238611102104187
1577731490.7532108,51,2.0908334255218506
1577731494.6414332,52,2.275277853012085
1577731498.4356503,53,1.8383333683013916
1577731502.2498684,54,1.460277795791626
1577731505.9940825,55,7.412222385406494
1577731509.723296,56,2.059999942779541
1577731513.4555094,57,3.262500047683716
1577731517.2287252,58,3.117222309112549
1577731521.1369488,59,2.360555648803711
1577731525.1581788,60,0.7347221970558167
1577731529.0083988,61,4.190277576446533
1577731533.1806376,62,2.2755556106567383
1577731537.0828607,63,1.4600000381469727
1577731540.880078,64,4.119999885559082
1577731544.6272924,65,0.6222222447395325
1577731548.4515111,66,0.19833333790302277
1577731552.4607403,67,2.9608333110809326
1577731556.392965,68,1.1894444227218628
1577731560.5472028,69,4.348333358764648
1577731564.3934228,70,1.7638888359069824
1577731568.6416657,71,4.208333492279053
1577731572.573891,72,1.4597222805023193
1577731576.5861201,73,1.286388874053955
1577731580.497344,74,2.4844443798065186
1577731584.4565704,75,1.4622222185134888
1577731588.3847952,76,2.359999895095825
1577731592.298019,77,1.1413888931274414
1577731596.1322381,78,1.3958333730697632
1577731600.2554739,79,2.2899999618530273
1577731604.2147005,80,0.17916665971279144
1577731608.1939282,81,0.8297222256660461
1577731612.1351533,82,1.973888874053955
1577731616.424399,83,0.11638888716697693
1577731620.5796366,84,0.05000000074505806
1577731624.48486,85,1.3680555820465088
1577731628.628097,86,0.7241666913032532
1577731632.6193252,87,0.24638888239860535
1577731636.672557,88,1.03166663646698
1577731640.6537845,89,0.13138888776302338
1577731644.3589964,90,0.1663888841867447
1577731648.0392072,91,0.4208333194255829
1577731651.8184233,92,0.3425000011920929
1577731655.95466,93,0.9288889169692993
1577731659.9828901,94,0.9963889122009277
1577731663.703103,95,0.8138889074325562
1577731667.4413168,96,0.2150000035762787
1577731671.2645357,97,0.26499998569488525
1577731675.1807597,98,0.1663888841867447
1577731678.6839597,99,0.5022222399711609
1577731682.4191735,100,0.3708333373069763
