Wall time,Step,Value
1578001587.2825282,6,4.0
1578001591.0597444,7,4.0
1578001613.1670089,12,3.0
1578001624.9596832,15,4.0
1578001628.713898,16,12.0
1578001640.145552,19,6.0
1578001648.0540042,21,10.0
1578001663.642896,25,15.0
1578001710.74559,37,20.0
1578001726.1944735,41,26.0
1578001734.1529288,43,24.0
1578001741.8813708,45,38.0
1578001745.663587,46,40.0
1578001753.387029,48,42.0
1578001777.01338,54,53.0
1578001780.7135918,55,45.0
1578001784.386802,56,48.0
1578001787.9980085,57,59.0
1578001792.0212386,58,63.0
1578001823.4560366,66,65.0
1578001835.1697066,69,62.0
1578001846.5823593,72,89.0
1578001850.4645815,73,70.0
1578001854.4058068,74,65.0
1578001858.328031,75,74.0
1578001877.6341352,80,72.0
1578001908.586906,88,98.0
1578001912.6901405,89,128.0
1578001935.8444648,95,214.0
1578001966.8232367,103,287.0
1578001978.4058993,106,314.0
1578001982.2271178,107,319.0
1578002009.312667,114,338.0
1578002021.1523442,117,254.0
1578002029.0277946,119,159.0
1578002059.9575636,127,146.0
1578002071.4242194,130,190.0
1578002075.2404377,131,179.0
1578002110.173436,140,107.0
1578002117.9838824,142,116.0
1578002122.0681162,143,106.0
1578002126.0953467,144,164.0
1578002155.0470026,151,65.0
1578002173.081034,156,72.0
1578002180.5514615,158,132.0
1578002184.2836747,159,182.0
1578002200.426598,163,143.0
1578002220.496746,168,182.0
1578002224.5559783,169,242.0
1578002237.8687396,172,298.0
1578002261.7531056,178,212.0
1578002265.6753302,179,121.0
1578002273.5717816,181,227.0
1578002285.2254481,184,244.0
1578002293.0148938,186,241.0
1578002296.9751203,187,243.0
1578002304.8675718,189,233.0
1578002312.497008,191,291.0
1578002316.3552287,192,228.0
1578002343.983809,199,227.0
1578002375.1405911,207,208.0
1578002378.9198072,208,251.0
1578002382.7370255,209,227.0
1578002398.4919267,213,262.0
1578002437.4601557,223,255.0
1578002441.294375,224,264.0
1578002449.0668197,226,269.0
1578002464.5897074,230,348.0
1578002476.0753644,233,267.0
1578002479.9635868,234,274.0
1578002484.0558207,235,251.0
1578002495.617482,238,275.0
1578002542.5311651,250,188.0
1578002565.8264978,256,170.0
1578002577.7571802,259,237.0
1578002585.4746215,261,176.0
1578002589.2688386,262,168.0
1578002597.0812855,264,218.0
1578002612.6411753,268,263.0
1578002627.864046,272,274.0
1578002635.8755045,274,261.0
1578002655.2866144,279,286.0
1578002709.6337228,293,273.0
1578002728.9118257,298,296.0
1578002732.8050482,299,271.0
1578002748.7399597,303,245.0
1578002752.835194,304,237.0
1578002768.2100732,308,221.0
1578002771.99829,309,260.0
1578002779.776735,311,248.0
1578002791.684416,314,300.0
1578002810.8785138,319,129.0
1578002814.7817373,320,134.0
1578002818.659959,321,114.0
1578002838.0710692,326,109.0
1578002842.0052943,327,137.0
1578002845.985522,328,141.0
1578002857.3501718,331,161.0
1578002892.0501568,340,123.0
1578002899.9896107,342,158.0
1578002924.4560103,348,157.0
1578002949.8864648,354,175.0
1578002954.8007457,355,217.0
1578002980.2912037,361,252.0
1578002992.8589225,364,227.0
1578003011.4189842,368,178.0
1578003027.8899264,372,207.0
1578003035.9723885,374,171.0
1578003053.3683834,378,213.0
1578003057.432616,379,161.0
1578003061.3068376,380,187.0
1578003070.040337,382,168.0
1578003091.59657,387,164.0
1578003114.9789073,392,162.0
1578003119.869187,393,183.0
1578003124.3504436,394,132.0
1578003187.3620474,409,223.0
1578003215.7856731,416,257.0
1578003239.432026,422,170.0
1578003243.5932639,423,184.0
1578003251.8747375,425,153.0
1578003262.5243466,427,169.0
1578003278.5192614,431,182.0
1578003313.63627,440,176.0
1578003321.2477055,442,167.0
1578003324.9939194,443,164.0
1578003337.480634,446,189.0
1578003360.715963,452,110.0
1578003390.8966892,460,132.0
1578003394.6229022,461,113.0
1578003405.7985413,464,122.0
1578003409.5057533,465,101.0
1578003443.257684,474,124.0
1578003446.947895,475,163.0
1578003487.9682412,486,179.0
1578003499.1848826,489,163.0
1578003502.8670936,490,178.0
1578003510.2345147,492,206.0
1578003517.5749345,494,205.0
1578003569.4579022,508,168.0
1578003588.1729724,513,139.0
1578003595.6434,515,159.0
1578003607.5450807,518,186.0
1578003614.857499,520,189.0
1578003633.2775524,525,150.0
1578003637.0347674,526,170.0
1578003659.356044,532,187.0
1578003666.7444668,534,216.0
1578003670.441678,535,221.0
1578003677.834101,537,256.0
1578003681.647319,538,242.0
1578003692.6579487,541,232.0
1578003699.9733672,543,233.0
1578003718.952453,548,90.0
1578003722.643664,549,139.0
1578003756.1755817,558,233.0
1578003763.6410089,560,257.0
1578003778.469857,564,262.0
1578003782.144067,565,275.0
1578003785.8952816,566,276.0
1578003800.9451425,570,315.0
1578003815.9410002,574,323.0
1578003819.7882202,575,359.0
1578003831.3408809,578,347.0
1578003838.8203087,580,348.0
1578003842.5165203,581,351.0
1578003846.35974,582,388.0
1578003850.1749582,583,375.0
1578003854.3431966,584,351.0
1578003858.2954228,585,361.0
1578003865.9168587,587,343.0
1578003869.5690675,588,394.0
1578003889.1041849,593,366.0
1578003892.9064023,594,435.0
1578003908.7703097,598,387.0
1578003920.1449602,601,391.0
1578003928.112416,603,431.0
1578003951.4647517,609,438.0
1578003959.024184,611,421.0
1578003978.692309,616,436.0
1578003994.5352151,620,456.0
1578003998.8384612,621,477.0
1578004006.6919105,623,473.0
1578004057.7998335,635,508.0
1578004085.327408,642,602.0
1578004089.4216425,643,630.0
1578004097.458102,645,664.0
1578004101.546336,646,704.0
1578004105.969589,647,677.0
1578004111.7149174,648,710.0
1578004120.819438,650,698.0
1578004132.7011178,653,770.0
1578004148.051996,657,807.0
1578004151.7632082,658,797.0
1578004166.502051,662,855.0
1578004177.7206926,665,829.0
1578004192.2995267,669,807.0
1578004202.9981387,672,804.0
1578004206.5903442,673,813.0
1578004210.3385584,674,798.0
1578004214.435793,675,839.0
1578004218.1840072,676,859.0
1578004225.5284274,678,811.0
1578004229.176636,679,826.0
1578004232.8938487,680,803.0
1578004244.1454923,683,809.0
1578004247.9317086,684,833.0
1578004251.6189194,685,843.0
1578004258.8333323,687,828.0
1578004266.1387498,689,782.0
1578004269.719955,690,843.0
1578004295.2914176,697,843.0
1578004306.103036,700,868.0
1578004320.7648745,704,874.0
1578004331.614495,707,893.0
1578004338.8399084,709,887.0
1578004346.0133185,711,882.0
1578004360.640155,715,900.0
1578004375.1119828,719,799.0
1578004385.9456027,722,747.0
1578004389.6688156,723,779.0
1578004393.645043,724,769.0
1578004397.2842512,725,774.0
1578004418.8144827,731,809.0
1578004440.2897108,737,766.0
1578004447.545126,739,747.0
1578004451.237337,740,794.0
1578004465.557156,744,779.0
1578004476.3857756,747,778.0
1578004480.0389845,748,739.0
1578004490.9276073,751,763.0
1578004494.6708214,752,736.0
1578004498.2810278,753,722.0
1578004505.4784393,755,758.0
1578004512.7128532,757,754.0
1578004534.3930933,763,743.0
1578004545.5667324,766,727.0
1578004549.162938,767,703.0
1578004560.0265596,770,708.0
1578004563.727771,771,725.0
1578004567.5159876,772,732.0
1578004574.7694027,774,714.0
1578004578.3416069,775,716.0
1578004600.0088463,781,718.0
1578004614.615682,785,735.0
1578004618.182886,786,710.0
1578004625.4823031,788,715.0
1578004632.694716,790,714.0
1578004640.003134,792,729.0
1578004643.60634,793,735.0
1578004647.2335474,794,728.0
1578004650.880756,795,713.0
1578004654.428959,796,722.0
1578004665.1875744,799,729.0
1578004672.5199935,801,742.0
1578004679.7664082,803,724.0
1578004690.5280237,806,739.0
1578004698.050454,808,730.0
1578004701.65266,809,735.0
1578004705.235865,810,731.0
1578004727.336129,816,726.0
1578004730.9143336,817,732.0
1578004737.7597253,819,722.0
1578004748.7453537,822,755.0
1578004763.1441772,826,728.0
1578004773.9087927,829,740.0
1578004784.8694198,832,707.0
1578004788.4646254,833,722.0
1578004795.6330354,835,727.0
1578004802.8254468,837,688.0
1578004810.016858,839,711.0
1578004828.2739024,844,705.0
1578004839.6235516,847,694.0
1578004846.8839667,849,717.0
1578004901.5300922,864,720.0
1578004916.069924,868,695.0
1578004923.452346,870,715.0
1578004927.0645528,871,705.0
1578004941.4243743,875,722.0
1578004948.6577878,877,710.0
1578004952.2299922,878,697.0
1578004963.1926193,881,704.0
1578004970.3880308,883,704.0
1578004977.7134497,885,691.0
1578004988.5680707,888,733.0
1578004995.9584932,890,707.0
1578004999.537698,891,708.0
1578005007.0681288,893,721.0
1578005021.4899538,897,705.0
1578005036.0027838,901,727.0
1578005061.4012365,908,726.0
1578005065.1884532,909,702.0
1578005068.7826586,910,727.0
1578005072.3618634,911,698.0
1578005079.64528,913,701.0
1578005090.5429032,916,739.0
1578005094.1481097,917,716.0
1578005097.8853233,918,687.0
1578005109.509988,921,716.0
1578005113.284204,922,687.0
1578005117.0354185,923,684.0
1578005120.7436306,924,705.0
1578005150.9233568,932,692.0
1578005154.6575704,933,659.0
1578005166.2382329,936,681.0
1578005192.6007407,943,688.0
1578005203.8613846,946,670.0
1578005233.8260987,954,660.0
1578005237.578313,955,654.0
1578005245.0657415,957,656.0
1578005248.9609644,958,656.0
1578005252.7181792,959,658.0
1578005263.7768118,962,652.0
1578005267.4670227,963,669.0
1578005274.973452,965,653.0
1578005282.4858818,967,655.0
1578005300.934937,972,671.0
1578005304.6871517,973,657.0
1578005320.0740316,977,654.0
1578005323.8142457,978,668.0
1578005327.4704547,979,657.0
1578005331.1216636,980,660.0
1578005342.1702955,983,669.0
1578005345.8745074,984,658.0
1578005349.6027205,985,653.0
1578005360.9123676,988,658.0
1578005364.608579,989,659.0
1578005394.404283,997,660.0
1578005409.1551268,1001,651.0
1578005416.5995524,1003,662.0
1578005423.915971,1005,662.0
1578005427.8681972,1006,658.0
1578005438.9908335,1009,665.0
1578005450.207475,1012,661.0
1578005453.8916857,1013,671.0
1578005457.5428946,1014,674.0
1578005461.255107,1015,668.0
1578005472.4617476,1018,665.0
1578005502.4874651,1026,654.0
1578005509.953892,1028,662.0
1578005517.3573155,1030,650.0
1578005524.7177367,1032,661.0
1578005528.44395,1033,656.0
1578005539.672592,1036,667.0
1578005546.997011,1038,656.0
1578005554.442437,1040,670.0
1578005573.2645133,1045,659.0
1578005599.121992,1052,662.0
1578005602.826204,1053,650.0
1578005614.1938546,1056,667.0
1578005621.898295,1058,651.0
1578005644.5105884,1064,651.0
1578005648.3538082,1065,654.0
1578005655.8622377,1067,655.0
1578005663.386668,1069,652.0
1578005678.0955093,1073,648.0
1578005693.1533706,1077,655.0
1578005700.6147974,1079,660.0
1578005720.8509548,1084,647.0
1578005725.276208,1085,657.0
1578005729.247435,1086,653.0
1578005755.313926,1093,657.0
1578005759.1861477,1094,657.0
1578005781.5644276,1100,658.0
1578005797.0043106,1104,657.0
1578005800.6935215,1105,649.0
1578005804.3427303,1106,652.0
1578005837.8616474,1115,652.0
1578005845.2460697,1117,660.0
1578005856.368706,1120,663.0
1578005878.6189785,1126,655.0
1578005882.2841885,1127,657.0
1578005897.1480384,1131,652.0
1578005908.453685,1134,662.0
1578005912.1178946,1135,659.0
1578005915.8411076,1136,667.0
1578005926.8347363,1139,658.0
1578005967.949088,1150,656.0
1578005979.298737,1153,664.0
1578005990.3913715,1156,649.0
1578005994.1345856,1157,658.0
1578005997.788795,1158,664.0
1578006009.2254488,1161,660.0
1578006012.9226604,1162,654.0
1578006016.779881,1163,665.0
1578006084.0337276,1178,666.0
1578006096.872462,1181,658.0
1578006105.7119675,1183,671.0
1578006109.7882006,1184,649.0
1578006117.7876582,1186,660.0
1578006121.806888,1187,663.0
1578006135.1896534,1190,652.0
1578006148.8694363,1193,659.0
1578006152.8946662,1194,664.0
1578006160.6051073,1196,652.0
1578006168.480558,1198,653.0
1578006176.245002,1200,658.0
1578006183.6514256,1202,663.0
1578006195.289091,1205,673.0
1578006203.66757,1207,651.0
1578006211.4730167,1209,661.0
1578006219.275463,1211,661.0
1578006226.6818867,1213,655.0
